Dataset,Site name,LTER ID,Country,Latitude,Longitude,Taxonomic group,Study length (years),Link to the data,Notes,Included_Excluded,Unique_ID,Data_owner,Data_title,Data_description,Owner_email,Reason_for_exclusion
11,Black Sea - Bulgaria,https://deims.org/f4193165-b4de-4dc0-a5bd-7f051be25884,BG,43.422,28.528,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2017","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
12,Sozopol - Black Sea - Bulgaria,https://deims.org/04c70bae-b13c-4df5-bbdb-dc2be9e9d411,BG,42.459,27.629,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2018","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
13,Srebarna - Bulgaria,https://deims.org/bc7e400a-ad18-4aeb-b11e-846362983a04,BG,44.108,27.075,Birds,41,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2019","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
14,Aleksandar Stamboliyski Reservoir - Bulgaria,Non LTER site,BG,43.088,25.074,Birds,37,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2020","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
15,Alepu Lake complex - Bulgaria,Non LTER site,BG,42.358,27.71,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2021","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
16,Arkutino Lake complex - Bulgaria,Non LTER site,BG,42.329,27.724,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2022","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
17,Atanasovsko Lake complex - Bulgaria,Non LTER site,BG,42.563,27.474,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2023","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
18,Black Sea coast: Dalyana – Vlas - Bulgaria,Non LTER site,BG,42.699,27.839,Birds,31,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2024","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
19,Black Sea coast: Kamchia – Irakli - Bulgaria,Non LTER site,BG,42.865,27.899,Birds,42,http://doi.org/10.23728/b2share.ea5af584b5104dd8a09b55eb7ad73335,,Included,6,"Nikolov B., Evtimova V., Stanchev R.","Wintering water birds at nine sites in Bulgaria, 1976-2025","Data on wintering water birds at nine sites in Bulgaria for the years 1976-2017. Public data provided by the Executive Environment Agency (ExEA), of the Ministry of Environment and Water, Bulgaria. Original data have been provided/ collected by Wetlands International, as well as by specialists and experts from ExEA, RIEW, research institutions and NGOs within the monitoring of wintering waterbirds as a part of the National Monitoring System for the condition of biodiversity.",peter.haase@senckenberg.de,
20,LWF Alptal - Switzerland,https://deims.org/9e1c8ec8-a407-426a-8410-05180b96e75a,CH,47.05,8.7,Plants,17,http://doi.org/10.23728/b2share.bd488d2b0ff84862b55e38b1032b1b00,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,52,Thimonier A.,"Vegetation data, Alptal - Switzerland, 1995-2011",Vegetation data from Alptal - Switzerland (https://deims.org/9e1c8ec8-a407-426a-8410-05180b96e75a) for the years 1995-2011,peter.haase@senckenberg.de,
21,LWF Beatenberg - Switzerland,https://deims.org/f6a6b3e0-9a39-4fe3-8ae5-24d833b8ad26,CH,46.7,7.75,Plants,15,http://doi.org/10.23728/b2share.e4fae77e7c804e1faefe4dfd5bf84c0d,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,13,Thimonier A.,"Vegetation data, Beatenberg - Switzerland. 1997-2011",Vegetation data from Beatenberg - Switzerland (https://deims.org/f6a6b3e0-9a39-4fe3-8ae5-24d833b8ad26) for the years 1997-2011,peter.haase@senckenberg.de,
22,LWF Bettlachstock - Switzerland,https://deims.org/c30ed2e5-41b0-4f2b-992c-2bd96b3cdba1,CH,47.217,7.417,Plants,17,http://doi.org/10.23728/b2share.f5c00b1daa644f26a93cd6832214387a,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,14,Thimonier A.,"Vegetation data, Bettlachstock - Switzerland, 1995-2011",Vegetation data from Bettlachstock - Switzerland (https://deims.org/c30ed2e5-41b0-4f2b-992c-2bd96b3cdba1) for teh yeats 1995-2011,peter.haase@senckenberg.de,
23,LWF Celerina - Switzerland,https://deims.org/8cb52b19-4720-4212-90f0-599375219c5b,CH,46.483,9.883,Plants,16,http://doi.org/10.23728/b2share.cf5a0a11ce1c4365a05609dd093385e2,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,15,Thimonier A.,"Vegetation data, Celerina Bestand - Switzerland. 1996-2011",Vegetation data from Celerina Bestand - Switzerland (https://deims.org/8cb52b19-4720-4212-90f0-599375219c5b) for the years 1996-2011,peter.haase@senckenberg.de,
24,LWF Chironico - Switzerland,https://deims.org/b8c789be-5fa5-42cc-b280-6e1a2b73639b,CH,46.433,8.8,Plants,16,http://doi.org/10.23728/b2share.196b3e412c954844b2692823fe363118,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,16,Thimonier A.,"Vegetation data, Chironico - Switzerland. 1996-2011",Vegetation data for Chironico - Switzerland (https://deims.org/b8c789be-5fa5-42cc-b280-6e1a2b73639b) for the years 1996-2011,peter.haase@senckenberg.de,
25,LWF Isone - Switzerland,https://deims.org/06af0bf1-7ddf-40c8-b4b8-d3602c1f9599,CH,46.117,9,Plants,16,http://doi.org/10.23728/b2share.ea8035225cb64bfeafdc5a1ed19c7266,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,17,Thimonier A.,"Vegetation data, Isone - Switzerland. 1996-2011",Vegetation data for Isone - Switzerland (https://deims.org/06af0bf1-7ddf-40c8-b4b8-d3602c1f9599) for the years 1996-2011,peter.haase@senckenberg.de,
26,LWF Jussy - Switzerland,https://deims.org/fa36576a-6409-41d4-96ae-67f2a3d7e085,CH,46.217,6.283,Plants,17,http://doi.org/10.23728/b2share.e931d3a2a7dd4dd4b7eb4cb88536af5e,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,18,Thimonier A.,"Vegetation data, Jussy - Switzerland. 1995-2011",Vegetation data for Jussy - Switzerland (https://deims.org/fa36576a-6409-41d4-96ae-67f2a3d7e085) for the years 1995-2011,peter.haase@senckenberg.de,
27,LWF Lausanne - Switzerland,https://deims.org/e60f9991-daf7-448c-9b78-44b00be86f6d,CH,46.583,6.65,Plants,16,http://doi.org/10.23728/b2share.fa91ffce55b144ad8127e9fbc379187d,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,19,Thimonier A.,"Vegetation data, Lausanne - Switzerland. 1996-2011",Vegetation data for Lausanne - Switzerland (https://deims.org/e60f9991-daf7-448c-9b78-44b00be86f6d) for the years 1996-2011,peter.haase@senckenberg.de,
28,LWF Lens - Switzerland,https://deims.org/dda5ccfa-3fd3-447c-bf61-08a02a3d8374,CH,46.283,7.85,Plants,16,http://doi.org/10.23728/b2share.585ee43a406d4d6d95c576f5edff6956,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,20,Thimonier A.,"Vegetation data, Lens - Switzerland. 1996-2011",Vegetation data for Lens - Switzerland (https://deims.org/dda5ccfa-3fd3-447c-bf61-08a02a3d8374) for the years 1996-2011,peter.haase@senckenberg.de,
29,LWF Nationalpark - Switzerland,https://deims.org/02ebdc77-d35c-4e19-ad7b-31a65885e7df,CH,46.65,10.217,Plants,16,http://doi.org/10.23728/b2share.d63698c2f7e34847be99f13212fb74c2,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,21,Thimonier A.,"Vegetation data, Nationalpark - Switzerland. 1996-2011",Vegetation data for Nationalpark - Switzerland (https://deims.org/02ebdc77-d35c-4e19-ad7b-31a65885e7df) for the years 1996-2011,peter.haase@senckenberg.de,
30,LWF Neunkirch - Switzerland,https://deims.org/e7c82a90-eee2-4e42-b90d-c0531a59e306,CH,47.683,8.533,Plants,17,http://doi.org/10.23728/b2share.d73ebfaf72514510878cc31951a4515a,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,22,Thimonier A.,"Vegetation data, Neunkirch - Switzerland. 1995-2011",Vegetation data for Neunkirch - Switzerland (https://deims.org/e7c82a90-eee2-4e42-b90d-c0531a59e306) for the years 1995-2011,peter.haase@senckenberg.de,
31,LWF Novaggio - Switzerland,https://deims.org/27988972-7e28-4fc2-a5e0-8d30d0f5dabd,CH,46.017,8.833,Plants,17,http://doi.org/10.23728/b2share.f25e32fd63c745c698ec8828cbbeb25d,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,23,Thimonier A.,"Vegetation data, Novaggio - Switzerland. 1995-2011",Vegetation data for Novaggio - Switzerland (https://deims.org/27988972-7e28-4fc2-a5e0-8d30d0f5dabd) for the years 1995-2011,peter.haase@senckenberg.de,
32,LWF Othmarsingen - Switzerland,https://deims.org/9d082cc6-3282-4469-8d7b-05fa3e13489a,CH,47.4,8.217,Plants,15,http://doi.org/10.23728/b2share.7079c16646a048659b9210004bd46830,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,24,Thimonier A.,"Vegetation data, Othmarsinge - Switzerland. 1997-2011",Vegetation data for Othmarsinge - Switzerland (https://deims.org/9d082cc6-3282-4469-8d7b-05fa3e13489a) for the years 1997-2011,peter.haase@senckenberg.de,
33,LWF Visp - Switzerland,https://deims.org/f5f1ceef-2fda-40a0-8e00-4ed9ea002f0f,CH,46.283,7.85,Plants,16,http://doi.org/10.23728/b2share.a1c80aeec3fe4790addffc8c0acb3286,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,25,Thimonier A.,"Vegetation data, Visp - Switzerland. 1996-2011",Vegetation data for Visp - Switzerland (https://deims.org/f5f1ceef-2fda-40a0-8e00-4ed9ea002f0f) for the years 1996-2011,peter.haase@senckenberg.de,
34,LWF Vordemwald - Switzerland,https://deims.org/064c3ef6-5aa5-4c91-bfb5-e3e07fa17059,CH,47.267,7.883,Plants,16,http://doi.org/10.23728/b2share.79c6a90046354b338d27f35313b46dc4,We used the highest value of coverage of each taxon in each year among the surveyed strata.,Included,26,Thimonier A.,"Vegetation data, Vordemwald - Switzerland. 1996-2011",Vegetation data for Vordemwald - Switzerland (https://deims.org/064c3ef6-5aa5-4c91-bfb5-e3e07fa17059) for the years 1996-2011,peter.haase@senckenberg.de,
35,Cernis alder carr - Czech Republic,Non LTER site,CZ,48.997,14.426,Terrestrial invert.,30,http://doi.org/10.23728/b2share.72a8b6c0c2d24d31a541bc8d0f3f4448,,Excluded,,,,,,only identified to genus level
36,Solling - Germany,https://deims.org/2d55b484-2a89-4023-be00-49829ab327f9,DE,51.765,9.58,Plants,28,http://doi.org/10.23728/b2share.14bc94b345064b8ba071cb52c9be3d4f,We used presence absence data.,Excluded,,,,,,only presence absence data
37,Rhine-Main-Observatory - Germany,https://deims.org/9f9ba137-342d-4813-ae58-a60911c3abc1,DE,50.187,9.1,Aquatic invert.,15,http://doi.org/10.23728/b2share.d5b7bbbc5743466d885fb9d6fee9500a,,Included,7,Haase P.,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany. All years except 2002,peter.haase@senckenberg.de,
38,Rhine-Main-Observatory - Germany,https://deims.org/9f9ba137-342d-4813-ae58-a60911c3abc1,DE,50.161,9.318,Aquatic invert.,16,http://doi.org/10.23728/b2share.d5b7bbbc5743466d885fb9d6fee9500a,,Included,7,Haase P.,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany. All years except 2002,peter.haase@senckenberg.de,
39,Rhine-Main-Observatory - Germany,https://deims.org/9f9ba137-342d-4813-ae58-a60911c3abc1,DE,50.037,9.429,Aquatic invert.,15,http://doi.org/10.23728/b2share.d5b7bbbc5743466d885fb9d6fee9500a,,Included,7,Haase P.,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany,Benthic invertebrates from three streams in the Rhine-Main-Observatory - Germany. All years except 2002,peter.haase@senckenberg.de,
40,Lange Bramke - Germany,https://deims.org/8e24d4f8-d6f6-4463-83e9-73cac2fd3f38,DE,51.86,10.418,Plants,28,http://doi.org/10.23728/b2share.6446610229654073854b39a756b2f8c6,We used presence absence data.,Excluded,,,,,,Only presence absence data
41,North Sea Benthos Observatory - Germany,https://deims.org/50946250-c0fa-41b0-a917-17d2a3992eee,DE,54.833,5.583,Aquatic invert.,21,http://doi.org/10.23728/b2share.8503b586c66d40299b85f74df637aec9,,Included,8,"Kronck I., Meyer J.","Benthic invertebrates from North Sea Benthos Observatory, 1996-2016",Benthic invertebrates from North Sea Benthos Observatory (https://deims.org/50946250-c0fa-41b0-a917-17d2a3992eee) for the years 1996-2016,peter.haase@senckenberg.de,
42,Müggelsee - Germany,https://deims.org/b9ad5ea6-80ab-4007-a4a1-8370236904d1,DE,52.44,13.65,Plankton,21,https://fred.igb-berlin.de/data/package/535; DOI: 10.18728/536.0,Phytoplankton data.,Excluded,,,,,,"No species data, just biomass"
43,Müggelsee - Germany,https://deims.org/b9ad5ea6-80ab-4007-a4a1-8370236904d1,DE,52.44,13.65,Plankton,21,https://fred.igb-berlin.de/data/package/535; DOI: 10.18728/536.0,Zooplankton data.,Included,27,Pilotto F.,NCOMMS-19-1757081A,NA,pilotto@igb-berlin.de,
44,National Park Hunsrück-Hochwald - Germany,https://deims.org/6d2f8953-afae-4449-b45e-9ae4e4606d31,DE,49.706,7.101,Aquatic invert.,21,http://doi.org/10.23728/b2share.c50776a0a8bc491c905d5928a1a80c3d,"To ensure consistency within the time series, we used the data of 1 sample per year from March to August",Excluded,,,,,,Sites and species unclear
45,Nørholm Hede - Denmark,https://deims.org/b356da08-15ac-42ad-ba71-aadb22845621,DK,55.68,8.605,Plants,91,http://doi.org/10.23728/b2share.d4037ff5a1fe4a20b28ead7010cf74ba,"We used data from plots: 9, 8, 13, 14 and 15 because they were the most regularly surveyed during the study period. We computed the trends of the biodiversity metrics independently for those 5 plots, and then we combined those trends using meta-analysis mixed models (see main text).",Included,28,Kappel Schmidt I.,"Vascular plants from Nørholm Hede - Denmark, 1921-2011","Vascular plants from Nørholm Hede - Denmark (https://deims.org/b356da08-15ac-42ad-ba71-aadb22845621), for the years 1921-2011",peter.haase@senckenberg.de,
46,Ordesa y Monte Perdido / Huesca ES - Spain,https://deims.org/829a2bcc-79d6-462f-ae2c-13653124359d,ES,42.608,0.029,Plants,26,http://doi.org/10.23728/b2share.af3e88642fcb4a968c449b262c6ed506,We used only data in the exclosures.,Excluded,,,,,,Data format unclear
47,Ebro Delta - Spain,https://deims.org/73357ac9-5294-4570-9007-4dc949a6f70a,ES,40.571,0.654,Birds,24,http://hdl.handle.net/10261/211284,We used only data from 1993 to 2016 because all studied species were surveyed in that period. ,Included,29,Oro D.,LTER bird census data Ebro Delta,NA,d.oro@uib.es,
48,Bothnian Bay LTSER Platform - Finland,https://deims.org/5a34d4da-f278-4c4c-8cc9-ec5854df54e0,FI,63.067,21.7,Terrestrial invert.,23,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
49,Bothnian Bay LTSER Platform - Finland,https://deims.org/5a34d4da-f278-4c4c-8cc9-ec5854df54e0,FI,63.891,22.939,Terrestrial invert.,22,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
50,Bothnian Bay LTSER Platform - Finland,https://deims.org/5a34d4da-f278-4c4c-8cc9-ec5854df54e0,FI,63.904,23.947,Terrestrial invert.,24,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
51,Bothnian Bay LTSER Platform - Finland,https://deims.org/5a34d4da-f278-4c4c-8cc9-ec5854df54e0,FI,65.04,24.565,Terrestrial invert.,23,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
52,Bothnian Bay LTSER Platform - Finland,https://deims.org/5a34d4da-f278-4c4c-8cc9-ec5854df54e0,FI,65.906,24.452,Terrestrial invert.,22,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
53,Helsinki Metropolitan Area HMA-LTSER - Finland,https://deims.org/35e3775a-88bc-483f-aed0-b614ce7736e2,FI,60.322,24.519,Terrestrial invert.,21,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
54,Lake Päijänne LTER - Finland,https://deims.org/28a399bc-e90f-43c2-a17d-2556b9644868,FI,62.616,26.346,Terrestrial invert.,24,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
55,Lake Päijänne LTER - Finland,https://deims.org/28a399bc-e90f-43c2-a17d-2556b9644868,FI,61.92,25.72,Terrestrial invert.,19,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
56,Lake Päijänne LTER - Finland,https://deims.org/28a399bc-e90f-43c2-a17d-2556b9644868,FI,62.192,25.861,Terrestrial invert.,18,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
57,"Lammi LTER, Southern Boreal Aquatic and Terrestrial Long-Term Ecological Research Area - Finland",https://deims.org/a43d31c8-6219-4ab8-ac41-6088cb56b12b,FI,61.054,25.043,Terrestrial invert.,24,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
58,Western Gulf of Finland LTER site WelFin - Finland,https://deims.org/c763fa3d-ca06-4d88-8c59-9d56cb70f4f2,FI,59.844,23.241,Terrestrial invert.,21,http://doi.org/10.23728/b2share.c9399a3ccb61450aaf58042b88a142fd,,Included,30,Poyry J.,Moths at 14 sites - Finland,Data on moths at 14 sites in Finland,peter.haase@senckenberg.de,
